5116,Bihar,Munger,Nary Petho Clinic,https://www.medindia.net/directories/hospitals/nary-petho-clinic-munger-bihar-44714.htm,Munger - 811201, Bihar
5117,Bihar,Munger,Oral Dental Hospital,https://www.medindia.net/directories/hospitals/oral-dental-hospital-munger-bihar-74120.htm,Munger - 811201, Bihar
5118,Bihar,Munger,Sahay Nursing Home,https://www.medindia.net/directories/hospitals/sahay-nursing-home-munger-bihar-14109.htm,Munger - 811201, Bihar
5119,Bihar,Munger,Samarpan Hospital And Research Centre,https://www.medindia.net/directories/hospitals/samarpan-hospital-and-research-centre-munger-bihar-19035.htm,Munger - 811201, Bihar
5120,Bihar,Munger,Sevayan Medical And Research Centre - Munger,https://www.medindia.net/directories/hospitals/sevayan-medical-and-research-centre-munger-munger-bihar-19251.htm,Munger - 811201, Bihar
5121,Bihar,Munger,Sinha Dental Clinic,https://www.medindia.net/directories/hospitals/sinha-dental-clinic-munger-bihar-44330.htm,Munger - 811201, Bihar
5122,Bihar,Munger,Suraj Clinic,https://www.medindia.net/directories/hospitals/suraj-clinic-munger-bihar-22468.htm,Munger - 813212, Bihar
5123,Bihar,Munger,Surims and Hospital,https://www.medindia.net/directories/hospitals/surims-and-hospital-munger-bihar-7577.htm,Munger - 811201, Bihar
5124,Bihar,Munger,Tarapur Sub Divisional Hospital,https://www.medindia.net/directories/hospitals/tarapur-sub-divisional-hospital-munger-bihar-72272.htm,Munger - 813221, Bihar
5125,Bihar,Munger,The Temple Of Hahnemann Homeopathic Medical College And Hospital,https://www.medindia.net/directories/hospitals/the-temple-of-hahnemann-homeopathic-medical-college-and-hospital-munger-bihar-11579.htm,Munger - 811201, Bihar
5126,Bihar,Murliganj,Aashirvad Multi Speciality Hospital,https://www.medindia.net/directories/hospitals/aashirvad-multi-speciality-hospital-murliganj-bihar-42738.htm,Murliganj - 852122, Bihar
5127,Bihar,Muzaffarpur,Roy Nursing Home & Maternity Centre,https://www.medindia.net/directories/hospitals/roy-nursing-home-maternity-centre-muzaffarpur-bihar-5402.htm,Muzaffarpur - 842002, Bihar
5128,Bihar,Muzaffarpur,Sanjeevani Clinic & Nursing Home,https://www.medindia.net/directories/hospitals/sanjeevani-clinic-nursing-home-muzaffarpur-bihar-21064.htm,Muzaffarpur - 842001, Bihar
5129,Bihar,Muzaffarpur,Sight Care,https://www.medindia.net/directories/hospitals/sight-care-muzaffarpur-bihar-7609.htm,Muzaffarpur - 842001, Bihar
5130,Bihar,Muzaffarpur,Al- Tanweer Polyclinic,https://www.medindia.net/directories/hospitals/al-tanweer-polyclinic-muzaffarpur-bihar-43049.htm,Muzaffarpur - 843312, Bihar
5131,Bihar,Muzaffarpur,Amal Nursing Home,https://www.medindia.net/directories/hospitals/amal-nursing-home-muzaffarpur-bihar-102191.htm,Muzaffarpur - 842003, Bihar
5132,Bihar,Muzaffarpur,Amrit Mother And Child Hospital,https://www.medindia.net/directories/hospitals/amrit-mother-and-child-hospital-muzaffarpur-bihar-22328.htm,Muzaffarpur - 842002, Bihar
5133,Bihar,Muzaffarpur,Apollo Maternity,https://www.medindia.net/directories/hospitals/apollo-maternity-muzaffarpur-bihar-101717.htm,Muzaffarpur - 842001, Bihar
5134,Bihar,Muzaffarpur,Aqua Clinic Plus,https://www.medindia.net/directories/hospitals/aqua-clinic-plus-muzaffarpur-bihar-81863.htm,Muzaffarpur - 842001, Bihar
5135,Bihar,Muzaffarpur,Aseem Healthcare and Trauma Centre,https://www.medindia.net/directories/hospitals/aseem-healthcare-and-trauma-centre-muzaffarpur-bihar-95693.htm,Muzaffarpur - 842002, Bihar
5136,Bihar,Muzaffarpur,Ayush Hospital,https://www.medindia.net/directories/hospitals/ayush-hospital-muzaffarpur-bihar-98136.htm,Muzaffarpur - 842002, Bihar
5137,Bihar,Muzaffarpur,Ayushman Hospital,https://www.medindia.net/directories/hospitals/ayushman-hospital-muzaffarpur-bihar-65450.htm,Muzaffarpur - 842003, Bihar
5138,Bihar,Muzaffarpur,Ayushman Nursing Home,https://www.medindia.net/directories/hospitals/ayushman-nursing-home-muzaffarpur-bihar-98262.htm,Muzaffarpur - 842001, Bihar
